 	Area	XM	YM
1	387	252.847	93.948
2	194	20.875	139.401
3	255	67.971	131.025
4	281	130.425	131.052
5	316	200.475	131.269
6	173	60.072	147.957
7	152	104.507	148.053
8	141	145.429	148.074
9	136	185.144	148.091
10	126	224.951	148.491
11	120	263.709	148.987
12	117	301.252	148.979
13	117	338.069	149.009
14	106	374.179	149.113
15	96	409.1	149.544
16	91	443.524	149.841
17	89	477.182	149.977
18	82	487.592	165.908
19	69	36.703	164.5
20	75	67.014	164.838
21	166	142.238	165.049
22	80	171.368	165.145
23	76	202.43	165.289
24	90	231.389	165.673
25	109	255.394	165.99
26	102	285.147	166
27	99	318.296	166.031
28	98	351.122	166.033
29	93	385.267	166.221
30	92	419.535	166.919
31	95	453.784	166.898
32	35	15.671	172.814
